,accuracy,f1,f2,precision,recall,specificity,mcc,roc_auc,pr_auc,brier
tfidf_only,0.9117647058823529,0.9150943396226415,0.9344894026974951,0.8844984802431611,0.9478827361563518,0.8754098360655738,0.8256236748085626,0.9690500347092432,0.9713283562744368,0.06917846090278625
tfidf_stats,0.9199346405228758,0.9220985691573926,0.9354838709677419,0.9006211180124224,0.9446254071661238,0.8950819672131147,0.8408531197076339,0.969989854221178,0.9726893436606328,0.06745139674221773
tfidf_stats_vader,0.9264705882352942,0.928,0.9379042690815006,0.9119496855345912,0.9446254071661238,0.9081967213114754,0.8534740931735518,0.9695733433011161,0.9727503084660027,0.0671535176640907
tfidf_stats_vader_emnlp,0.8872549019607843,0.8962406015037594,0.9394703656998739,0.8324022346368715,0.9706840390879479,0.8032786885245902,0.7853817083527459,0.9736850536658301,0.9758159958388505,0.062152044832615605
