,accuracy,f1,f2,precision,recall,specificity,mcc,roc_auc,pr_auc,brier,threshold,out_of_domain_f2,selection_score
logistic_regression,0.8872549019607843,0.8962406015037594,0.9394703656998739,0.8324022346368715,0.9706840390879479,0.8032786885245902,0.7853817083527459,0.9736850536658301,0.9758159958388505,0.062152044832615605,0.11783108372013944,0.7166947723440135,0.8726376876931157
linear_svc,0.9575163398692811,0.9580645161290322,0.963659961064244,0.9488817891373802,0.9674267100977199,0.9475409836065574,0.9152023033155957,0.9898542211779783,0.9916638398986091,0.03710280228060472,0.4131722838728608,0.4263565891472868,0.8024689494891568
random_forest,0.9624183006535948,0.9634340222575517,0.9774193548387097,0.9409937888198758,0.9869706840390879,0.9377049180327869,0.9259372829665296,0.9953276018582795,0.9961765494784103,0.028635660130718957,0.208,,
xgboost,0.9689542483660131,0.9686985172981878,0.9620418848167539,0.98,0.9576547231270358,0.980327868852459,0.9381579462653181,0.9913600683505099,0.9932902129711386,0.025744058191776276,0.30227774381637573,0.022026431718061675,0.6800372488871462
